Alphari|2015-02-09|2026-02-12|4021.0|9|2026-02-10 07:38:05+00:00
Ambition|2012-02-09|2026-02-12|5117.0|7|2026-02-10 07:38:05+00:00
Aphromoo|2012-02-09|2026-02-12|5117.0|8|2026-02-10 07:38:05+00:00
Bang|2012-02-09|2026-02-12|5117.0|11|2026-02-10 07:38:05+00:00
Bdd|2015-02-09|2026-02-12|4021.0|6|2026-02-10 07:38:05+00:00
Bjergsen|2012-02-09|2026-02-12|5117.0|8|2026-02-10 07:38:05+00:00
Blaber|2017-02-09|2026-02-12|3290.0|4|2026-02-10 07:38:05+00:00
BrTT|2012-02-09|2026-02-12|5117.0|10|2026-02-10 07:38:05+00:00
Caps|2016-02-09|2026-02-11|3655.0|6|2026-02-10 07:38:05+00:00
Chawy|2012-02-09|2026-02-12|5117.0|14|2026-02-10 07:38:05+00:00
Clearlove|2012-02-09|2026-02-12|5117.0|10|2026-02-10 07:38:05+00:00
Dardoch|2014-02-09|2026-02-12|4386.0|34|2026-02-10 07:38:05+00:00
Deft|2013-02-09|2026-02-12|4751.0|10|2026-02-10 07:38:05+00:00
Diamondprox|2011-02-09|2026-02-12|5482.0|10|2026-02-10 07:38:05+00:00
Dumbledoge|2015-02-09|2026-02-12|4021.0|6|2026-02-10 07:38:05+00:00
Edward|2011-02-09|2026-02-12|5482.0|19|2026-02-10 07:38:05+00:00
FBI|2017-02-09|2026-02-12|3290.0|10|2026-02-10 07:38:05+00:00
FakeGod|2018-02-09|2026-02-12|2925.0|8|2026-02-10 07:38:05+00:00
Faker|2013-02-09|2026-02-12|4751.0|2|2026-02-10 07:38:05+00:00
Febiven|2014-02-09|2026-02-12|4386.0|11|2026-02-10 07:38:05+00:00
